lap,time_s,dist_m,entry_kmh,flag,C1_time_s,C1_apex_kmh,C2_time_s,C2_apex_kmh,C3_time_s,C3_apex_kmh,C4_time_s,C4_apex_kmh,C5_time_s,C5_apex_kmh,C6_time_s,C6_apex_kmh,C7_time_s,C7_apex_kmh,C8_time_s,C8_apex_kmh,C9_time_s,C9_apex_kmh,C10_time_s,C10_apex_kmh,C11_time_s,C11_apex_kmh,C12_time_s,C12_apex_kmh
1,70.464,1074.284,75.062,,2.573,40.104,2.599,48.276,2.703,47.808,5.331,26.100,3.848,40.176,6.451,44.532,3.502,26.244,2.182,73.404,2.981,41.292,3.946,59.904,5.863,15.660,7.104,31.860
2,70.271,1069.312,71.423,,2.501,71.423,2.350,54.360,2.720,43.344,5.013,29.196,5.185,35.028,5.705,50.796,4.694,30.312,2.424,62.388,3.088,38.628,4.053,56.124,6.779,23.256,6.668,36.288
3,69.017,1062.770,75.156,,2.525,73.116,2.381,53.172,2.833,43.560,4.649,32.328,5.108,39.204,5.656,51.228,4.534,37.548,2.204,73.224,3.200,40.572,4.028,62.460,6.182,23.220,6.587,36.972
4,68.801,1050.937,74.124,gps-dropout,2.497,70.452,2.407,52.920,2.523,47.592,4.867,32.184,4.904,33.300,6.007,51.804,3.529,54.131,2.120,75.636,3.132,35.964,3.735,52.596,6.032,28.368,6.920,37.188
5,70.860,1064.545,72.929,,2.967,55.476,2.794,46.440,2.634,44.172,4.959,23.256,4.592,38.628,5.937,53.784,4.464,37.512,2.148,75.456,3.320,38.988,3.943,67.860,6.540,25.452,7.063,35.748
6,68.576,1067.260,73.159,,2.581,71.496,2.292,53.280,2.602,44.820,4.760,28.152,5.027,38.448,6.005,49.212,4.491,32.544,2.111,78.660,3.578,36.180,3.724,57.492,5.947,28.008,7.009,20.088
7,68.831,1046.115,73.582,gps-dropout,2.484,66.672,2.456,53.820,2.394,46.008,4.962,34.020,4.571,40.500,5.950,50.004,3.965,32.868,2.476,72.504,3.349,36.756,3.749,79.200,6.310,17.424,6.600,39.276
8,70.124,1076.056,68.691,gps-dropout,2.903,65.808,2.351,51.516,2.505,46.008,5.379,33.408,4.668,38.412,5.647,48.456,4.713,37.152,2.172,73.620,3.329,23.004,4.279,55.368,4.877,32.688,7.714,35.244
9,69.714,1057.073,65.865,gps-dropout,2.619,65.700,2.430,48.852,2.599,49.428,4.518,31.788,5.086,28.080,5.753,49.392,4.719,30.852,2.474,64.152,3.385,28.692,3.786,59.112,6.223,31.716,6.901,29.340
10,68.440,1063.770,71.811,,2.685,58.032,2.357,50.400,2.571,49.932,4.607,30.888,4.898,37.836,5.603,51.768,4.478,30.600,2.170,72.468,3.535,32.256,3.948,62.280,6.501,18.468,6.371,30.204
11,69.010,1055.240,73.134,,2.664,66.816,2.292,53.316,2.720,46.440,4.668,33.696,4.902,37.872,5.677,46.224,4.643,33.768,2.221,73.260,3.202,37.548,4.067,42.912,6.286,29.880,6.482,37.404
12,68.609,1062.013,74.936,,2.595,70.380,2.408,48.240,2.700,45.324,4.583,34.308,5.054,37.764,5.545,52.740,4.513,30.348,2.186,70.344,3.140,40.536,3.840,64.404,6.224,29.592,6.658,39.708
13,69.938,1066.181,68.465,,2.535,68.465,2.696,47.304,2.677,40.536,4.752,33.156,4.835,37.692,5.717,52.308,4.349,26.244,2.602,61.200,3.411,36.612,4.133,49.176,6.184,27.324,6.446,34.416
14,70.790,1063.352,71.666,gps-dropout,2.630,66.384,2.431,50.148,2.661,44.748,4.721,27.252,5.241,34.380,5.549,51.624,5.030,31.428,2.198,75.492,3.299,40.320,4.075,59.724,6.323,25.560,7.216,32.112
15,70.211,1044.413,71.265,,2.830,58.320,2.460,48.312,2.563,49.464,4.531,31.788,5.286,26.028,6.120,46.728,4.537,32.652,2.148,73.908,3.626,30.204,4.004,58.608,6.331,22.176,6.984,34.632
16,70.034,1066.963,69.012,,2.927,55.404,2.588,48.060,2.445,46.944,4.957,33.624,4.492,38.736,6.167,48.960,3.857,31.392,2.724,74.052,3.709,37.764,4.084,53.820,6.420,20.880,6.690,37.620
17,68.826,1059.332,71.987,,2.712,63.252,2.343,48.492,2.620,49.896,4.518,32.940,4.928,35.136,5.299,52.920,4.701,27.324,2.115,75.132,3.276,39.060,3.887,61.920,6.124,28.080,6.737,38.016
18,70.776,1076.679,72.872,,2.799,63.828,2.381,52.344,2.558,48.564,4.886,33.624,4.453,35.208,6.043,50.328,3.884,35.604,2.824,67.464,3.346,38.160,3.976,62.856,7.499,23.796,6.963,36.612
19,68.816,1070.978,73.263,,2.676,69.120,2.353,48.492,2.530,49.284,5.198,24.264,4.410,37.296,6.083,50.796,3.849,30.816,2.464,76.068,3.454,38.340,3.918,60.372,5.727,21.240,7.050,36.972
20,68.757,1057.961,74.739,,2.640,67.356,2.361,48.636,2.688,46.260,4.661,31.176,5.123,34.920,5.553,51.840,4.530,36.684,2.134,76.824,3.266,39.420,3.778,65.340,6.049,26.136,6.845,36.936
21,69.891,1063.456,73.210,,2.676,70.704,2.471,44.064,2.885,43.308,4.642,33.192,5.022,35.244,6.036,45.144,4.612,32.796,2.217,72.684,3.303,36.540,3.907,61.452,6.177,25.812,6.855,35.388
22,68.932,1052.357,73.408,,2.445,73.408,2.397,52.164,2.394,41.148,5.066,34.092,4.581,36.288,5.939,53.532,4.760,32.616,2.127,74.844,3.485,37.440,3.667,65.304,6.247,25.956,6.954,34.092
23,69.232,1068.453,71.807,,2.897,63.936,2.654,50.904,2.281,49.680,4.937,32.796,4.716,35.532,5.971,50.184,4.510,30.528,2.138,75.528,3.282,38.700,3.787,64.044,6.811,29.952,6.701,39.420
24,69.362,1063.150,73.056,,2.583,70.920,2.301,51.408,2.665,47.700,4.551,34.812,4.947,40.248,5.647,50.796,4.646,36.324,2.106,75.420,3.224,38.448,3.934,62.460,6.174,13.644,7.371,27.972
25,71.786,1062.531,57.671,,3.690,48.672,2.959,41.832,2.882,43.236,4.689,30.492,4.953,40.212,5.538,47.664,4.664,17.100,2.131,73.836,3.299,38.340,4.001,61.560,6.383,27.360,6.779,34.164
26,68.325,1057.018,73.732,,2.566,68.688,2.349,52.056,2.662,44.856,4.505,35.244,4.932,40.140,5.277,48.708,4.412,34.272,2.193,70.740,3.195,39.708,3.984,52.200,6.293,32.616,6.617,40.932
27,68.640,1067.196,75.632,,2.712,66.132,2.600,49.212,2.433,48.564,4.618,31.212,4.777,37.224,5.952,52.848,4.480,35.028,2.152,75.528,3.443,37.584,3.885,65.304,6.002,29.952,6.918,39.384
28,69.174,1068.292,75.039,,2.631,68.256,2.417,52.092,2.577,45.360,4.671,32.724,4.786,38.628,5.969,49.932,4.632,35.172,2.214,68.940,3.045,38.628,3.629,63.360,6.767,22.176,6.708,34.560
29,69.588,1057.161,74.220,,2.572,71.496,2.355,48.204,2.543,51.984,4.551,33.660,5.050,37.044,5.481,47.700,4.677,29.628,2.142,74.628,3.275,39.492,4.050,59.580,6.639,27.864,7.252,30.492
30,70.094,1054.782,70.446,,2.840,62.424,2.471,42.012,2.738,47.052,4.540,34.128,5.061,35.856,5.573,49.104,4.567,31.932,2.256,67.572,3.324,39.636,3.919,61.452,6.412,26.892,7.034,35.784
31,69.673,1063.528,71.849,,2.622,71.849,2.457,48.708,2.723,45.828,4.775,28.800,5.717,31.644,5.916,50.544,4.571,35.964,2.161,72.288,3.098,40.284,3.935,64.656,6.141,25.128,6.512,35.532
32,68.843,1067.455,71.788,,2.657,65.412,2.382,49.500,2.477,43.308,4.733,35.604,4.573,37.872,6.038,50.616,4.662,36.252,2.185,72.396,3.115,41.256,4.075,61.848,5.895,22.320,6.864,36.144
33,70.252,1070.410,73.638,,2.523,73.638,2.526,46.800,2.351,47.916,4.695,32.724,5.159,33.408,6.172,46.152,4.686,36.576,2.141,73.368,3.162,37.836,4.292,52.920,6.679,28.836,6.649,36.540
34,68.546,1062.919,73.609,,2.641,65.520,2.346,51.408,2.637,43.776,4.642,32.364,5.063,35.856,5.563,43.380,4.517,34.452,2.141,75.780,3.198,38.916,3.971,57.996,6.387,26.496,6.603,37.224
35,69.469,1053.904,74.515,,2.581,70.020,2.542,47.628,2.692,44.964,4.670,33.084,5.455,32.436,6.280,49.860,3.766,24.120,2.310,64.476,3.564,37.476,3.896,60.624,6.570,32.940,6.524,39.528
36,69.852,1075.668,65.863,,2.984,59.076,2.719,44.892,2.632,44.352,5.111,32.292,4.877,39.456,5.619,52.884,4.282,36.432,2.468,74.340,3.177,40.248,4.008,50.940,6.032,30.960,6.783,36.720
37,68.228,1059.237,73.900,,2.606,72.252,2.294,49.392,2.671,45.396,4.399,35.136,4.893,40.356,5.617,38.952,4.481,31.068,2.137,74.232,3.159,40.644,3.843,65.016,6.334,19.188,6.588,38.124
38,69.329,1072.717,70.388,,3.118,58.860,2.560,49.536,2.345,48.780,5.043,35.028,4.643,40.032,5.823,49.536,4.145,32.220,2.091,77.472,3.642,39.240,3.884,51.804,5.745,27.900,7.144,35.136
39,69.864,1064.763,73.734,,2.560,68.400,2.462,50.796,2.554,48.276,4.703,35.352,4.918,29.844,5.957,48.096,4.022,34.884,2.625,69.768,3.061,39.312,3.961,61.812,6.071,27.000,7.537,38.304
40,77.136,1063.784,50.682,,4.518,33.840,4.840,21.816,3.471,34.380,4.914,33.372,5.090,38.196,5.582,47.556,4.833,29.952,2.151,76.320,3.153,38.880,3.938,64.404,6.468,28.188,6.702,37.512
41,69.208,1063.291,73.552,,2.539,73.552,2.361,51.156,2.675,49.284,4.478,34.884,5.011,39.492,5.599,52.056,4.621,34.668,2.075,75.384,3.265,36.288,4.075,60.588,6.547,21.852,6.835,35.136
42,68.753,1056.816,73.942,,2.669,66.600,2.408,49.752,2.683,45.360,4.599,35.136,4.947,40.212,5.623,47.520,4.583,36.324,2.167,69.876,3.104,40.284,3.802,63.792,6.255,28.440,7.017,34.668
43,69.570,1058.434,68.739,,2.933,60.264,2.459,45.792,2.630,46.404,4.624,32.328,4.996,39.852,5.646,50.220,4.510,36.756,2.125,74.808,3.330,39.672,3.833,59.868,6.227,27.468,6.834,37.872
44,69.930,1066.451,70.341,,2.886,60.264,2.643,51.300,2.580,48.420,4.988,29.772,4.553,38.628,5.919,52.200,4.548,37.656,2.134,76.644,3.074,37.260,3.898,63.432,6.875,23.796,6.769,33.840
45,69.207,1062.992,73.332,,2.632,70.272,2.382,51.048,2.620,49.464,4.555,34.632,4.872,42.948,5.554,50.184,4.657,32.760,2.243,65.088,3.233,38.484,3.968,60.372,6.553,30.456,7.028,34.380
46,70.316,1067.149,73.608,,2.593,66.708,2.996,45.576,2.269,44.172,4.766,31.428,5.468,37.260,5.472,50.508,4.592,33.084,2.224,68.472,2.992,35.244,3.887,60.552,6.432,29.448,6.656,37.656
47,68.450,1046.408,72.133,,2.791,70.632,2.451,50.076,2.495,46.260,4.254,32.688,4.953,40.212,5.555,46.296,4.570,27.144,2.132,71.496,3.193,35.964,3.537,65.988,6.321,30.060,6.924,32.256
48,69.177,1056.712,69.350,,2.536,69.350,2.272,49.428,2.670,45.900,4.622,33.084,5.188,37.296,5.494,47.520,4.868,25.344,2.241,63.396,3.453,36.756,3.954,63.756,6.164,32.292,6.562,38.124
49,70.258,1059.698,75.829,,2.577,69.336,2.208,54.900,2.818,46.044,4.563,34.128,5.029,38.880,6.029,47.484,4.955,28.440,2.224,65.088,3.319,39.528,3.928,62.424,6.499,27.684,6.744,37.944
50,68.926,1054.433,73.593,,2.620,64.404,2.233,50.976,2.673,44.676,4.511,34.128,5.257,34.416,5.440,48.564,4.584,33.084,2.239,74.340,3.273,38.016,3.915,60.156,6.367,21.492,6.659,39.096
51,68.568,1048.299,69.846,,2.717,61.272,2.726,46.908,2.403,46.728,4.299,30.924,5.301,34.632,5.751,51.192,4.432,31.572,2.068,77.544,3.090,38.952,3.891,62.424,6.009,31.212,6.848,34.164
52,68.795,1058.346,73.145,,2.663,61.632,2.179,52.956,2.682,47.268,4.485,32.940,5.091,34.956,5.700,51.624,4.543,33.516,2.136,70.632,3.004,39.744,3.828,63.828,6.088,34.236,6.865,38.124
53,68.664,1060.788,71.886,,2.598,67.752,2.283,43.056,2.818,42.948,4.383,36.288,5.001,36.324,5.558,51.948,4.579,31.680,2.148,71.676,3.220,38.448,3.922,61.632,5.925,33.948,6.648,38.592
54,68.963,1067.315,71.922,,2.587,71.388,2.239,50.076,2.919,47.196,4.535,30.420,5.015,35.352,5.568,47.808,4.526,38.016,2.152,69.444,3.251,40.824,3.808,62.640,6.225,33.480,7.040,36.576
55,68.664,1061.774,72.157,,2.635,63.144,2.336,46.692,2.740,45.864,4.491,34.092,5.104,35.964,5.727,52.848,4.669,33.444,2.199,74.052,3.309,37.656,3.915,64.584,5.868,34.236,6.787,34.632
56,69.372,1053.607,69.659,,2.950,53.424,2.600,49.320,2.349,47.448,4.805,34.812,4.661,35.100,5.763,47.268,4.932,34.272,2.333,73.116,3.252,38.808,3.882,63.468,6.301,33.300,6.505,39.852
57,76.817,1061.753,73.604,,2.591,70.092,2.340,46.152,2.728,43.236,4.863,29.772,5.052,34.560,5.655,49.788,4.534,38.916,2.144,69.624,3.173,41.256,7.491,35.280,7.119,26.568,6.850,36.252

summary,time_s
summary: Best rolling,67.621
